University,Scholarship,Scholarship_Type,Conditions,Scholarship_Value,Source
จุฬาลงกรณ์มหาวิทยาลัย (Life Sci 1 - แพทย์/ทันต/สัตวแพทย์),ทุนอุดหนุนการศึกษาของมหาวิทยาลัย (หลักสูตรปริญญาตรี),ทุนขาดแคลนทุนทรัพย์ / ทุนอุดหนุนการศึกษา (ระดับปริญญาตรี),สำหรับนิสิตระดับปริญญาตรีที่ขาดแคลนทุนทรัพย์ ดูแลโดยฝ่ายทุนการศึกษาและบริการนิสิต สำนักบริหารกิจการนิสิต,ทุนอุดหนุนค่าใช้จ่ายการศึกษา (ตามประกาศแต่ละปี),https://www.sa.chula.ac.th/service/
จุฬาลงกรณ์มหาวิทยาลัย (Life Sci 2 - เภสัช/พยาบาล/สหเวช/จิตวิทยา),ทุนอุดหนุนการศึกษาของมหาวิทยาลัย (หลักสูตรปริญญาตรี),ทุนขาดแคลนทุนทรัพย์ / ทุนอุดหนุนการศึกษา (ระดับปริญญาตรี),สำหรับนิสิตระดับปริญญาตรีที่ขาดแคลนทุนทรัพย์ ดูแลโดยฝ่ายทุนการศึกษาและบริการนิสิต สำนักบริหารกิจการนิสิต,ทุนอุดหนุนค่าใช้จ่ายการศึกษา (ตามประกาศแต่ละปี),https://www.sa.chula.ac.th/service/
จุฬาลงกรณ์มหาวิทยาลัย (Physical Sci - วิทย์/วิศวะ/สถาปัตย์),ทุนอุดหนุนการศึกษาของมหาวิทยาลัย (หลักสูตรปริญญาตรี),ทุนขาดแคลนทุนทรัพย์ / ทุนอุดหนุนการศึกษา (ระดับปริญญาตรี),สำหรับนิสิตระดับปริญญาตรีที่ขาดแคลนทุนทรัพย์ ดูแลโดยฝ่ายทุนการศึกษาและบริการนิสิต สำนักบริหารกิจการนิสิต,ทุนอุดหนุนค่าใช้จ่ายการศึกษา (ตามประกาศแต่ละปี),https://www.sa.chula.ac.th/service/
จุฬาลงกรณ์มหาวิทยาลัย (Social Sci - บัญชี/รัฐ/นิเทศ/นิติ/เศรษฐ),ทุนอุดหนุนการศึกษาของมหาวิทยาลัย (หลักสูตรปริญญาตรี),ทุนขาดแคลนทุนทรัพย์ / ทุนอุดหนุนการศึกษา (ระดับปริญญาตรี),สำหรับนิสิตระดับปริญญาตรีที่ขาดแคลนทุนทรัพย์ ดูแลโดยฝ่ายทุนการศึกษาและบริการนิสิต สำนักบริหารกิจการนิสิต,ทุนอุดหนุนค่าใช้จ่ายการศึกษา (ตามประกาศแต่ละปี),https://www.sa.chula.ac.th/service/
จุฬาลงกรณ์มหาวิทยาลัย (Arts - อักษร/ศิลปกรรม),ทุนอุดหนุนการศึกษาของมหาวิทยาลัย (หลักสูตรปริญญาตรี),ทุนขาดแคลนทุนทรัพย์ / ทุนอุดหนุนการศึกษา (ระดับปริญญาตรี),สำหรับนิสิตระดับปริญญาตรีที่ขาดแคลนทุนทรัพย์ ดูแลโดยฝ่ายทุนการศึกษาและบริการนิสิต สำนักบริหารกิจการนิสิต,ทุนอุดหนุนค่าใช้จ่ายการศึกษา (ตามประกาศแต่ละปี),https://www.sa.chula.ac.th/service/
จุฬาลงกรณ์มหาวิทยาลัย (ป.โท Social Sci ไทย),ทุนอุดหนุนการศึกษาของมหาวิทยาลัย (หลักสูตรปริญญาตรี),ทุนขาดแคลนทุนทรัพย์ / ทุนอุดหนุนการศึกษา (ระดับปริญญาตรี),สำหรับนิสิตระดับปริญญาตรีที่ขาดแคลนทุนทรัพย์ ดูแลโดยฝ่ายทุนการศึกษาและบริการนิสิต สำนักบริหารกิจการนิสิต,ทุนอุดหนุนค่าใช้จ่ายการศึกษา (ตามประกาศแต่ละปี),https://www.sa.chula.ac.th/service/
จุฬาลงกรณ์มหาวิทยาลัย (BBA นานาชาติ - CBS),ทุนอุดหนุนการศึกษาของมหาวิทยาลัย (หลักสูตรปริญญาตรี),ทุนขาดแคลนทุนทรัพย์ / ทุนอุดหนุนการศึกษา (ระดับปริญญาตรี),สำหรับนิสิตระดับปริญญาตรีที่ขาดแคลนทุนทรัพย์ ดูแลโดยฝ่ายทุนการศึกษาและบริการนิสิต สำนักบริหารกิจการนิสิต,ทุนอุดหนุนค่าใช้จ่ายการศึกษา (ตามประกาศแต่ละปี),https://www.sa.chula.ac.th/service/
จุฬาลงกรณ์มหาวิทยาลัย (EBA Econ นานาชาติ),ทุนอุดหนุนการศึกษาของมหาวิทยาลัย (หลักสูตรปริญญาตรี),ทุนขาดแคลนทุนทรัพย์ / ทุนอุดหนุนการศึกษา (ระดับปริญญาตรี),สำหรับนิสิตระดับปริญญาตรีที่ขาดแคลนทุนทรัพย์ ดูแลโดยฝ่ายทุนการศึกษาและบริการนิสิต สำนักบริหารกิจการนิสิต,ทุนอุดหนุนค่าใช้จ่ายการศึกษา (ตามประกาศแต่ละปี),https://www.sa.chula.ac.th/service/
จุฬาลงกรณ์มหาวิทยาลัย (INDA สถาปัตย์นานาชาติ),ทุนอุดหนุนการศึกษาของมหาวิทยาลัย (หลักสูตรปริญญาตรี),ทุนขาดแคลนทุนทรัพย์ / ทุนอุดหนุนการศึกษา (ระดับปริญญาตรี),สำหรับนิสิตระดับปริญญาตรีที่ขาดแคลนทุนทรัพย์ ดูแลโดยฝ่ายทุนการศึกษาและบริการนิสิต สำนักบริหารกิจการนิสิต,ทุนอุดหนุนค่าใช้จ่ายการศึกษา (ตามประกาศแต่ละปี),https://www.sa.chula.ac.th/service/
จุฬาลงกรณ์มหาวิทยาลัย (Sasin MBA นานาชาติ),ทุนอุดหนุนการศึกษาของมหาวิทยาลัย (หลักสูตรปริญญาตรี),ทุนขาดแคลนทุนทรัพย์ / ทุนอุดหนุนการศึกษา (ระดับปริญญาตรี),สำหรับนิสิตระดับปริญญาตรีที่ขาดแคลนทุนทรัพย์ ดูแลโดยฝ่ายทุนการศึกษาและบริการนิสิต สำนักบริหารกิจการนิสิต,ทุนอุดหนุนค่าใช้จ่ายการศึกษา (ตามประกาศแต่ละปี),https://www.sa.chula.ac.th/service/
